class,rank,feature,weight
Negative Feedback,1,work,-5.832772780475495
Negative Feedback,2,does,-6.382475529496587
Negative Feedback,3,time,-6.402377765179729
Negative Feedback,4,needs,-6.431502347516769
Negative Feedback,5,performance,-6.526267639457587
Negative Feedback,6,improve,-6.599218080760769
Negative Feedback,7,team,-6.705756420065514
Negative Feedback,8,late,-6.716829078282065
Negative Feedback,9,potential,-6.749446992220005
Negative Feedback,10,company,-6.909034901080826
Negative Feedback,11,better,-6.983715121248639
Negative Feedback,12,tasks,-6.985142005364328
Negative Feedback,13,shows,-6.986029623116607
Negative Feedback,14,quarter,-7.00387289452534
Negative Feedback,15,quality,-7.019966415783091
Neutral Feedback,1,work,-5.9410434334130695
Neutral Feedback,2,team,-6.351537789837387
Neutral Feedback,3,time,-6.389533340558684
Neutral Feedback,4,good,-6.420235167592104
Neutral Feedback,5,potential,-6.457031082485867
Neutral Feedback,6,does,-6.524563192071408
Neutral Feedback,7,improve,-6.627173248886456
Neutral Feedback,8,company,-6.670818435186741
Neutral Feedback,9,worker,-6.739275801210959
Neutral Feedback,10,solid,-6.761932243829557
Neutral Feedback,11,shown,-6.799434623445155
Neutral Feedback,12,performance,-6.81574265040466
Neutral Feedback,13,job,-6.818081049028297
Neutral Feedback,14,great,-6.818750856827347
Neutral Feedback,15,tasks,-6.844704041487867
Positive Feedback,1,work,-6.0680841074003675
Positive Feedback,2,great,-6.331820578674305
Positive Feedback,3,team,-6.340295128204019
Positive Feedback,4,company,-6.546963035076076
Positive Feedback,5,high,-6.572918071646756
Positive Feedback,6,potential,-6.64414135409113
Positive Feedback,7,time,-6.793494410443831
Positive Feedback,8,employee,-6.794163252851623
Positive Feedback,9,worker,-6.801785556989025
Positive Feedback,10,tasks,-6.882424745972187
Positive Feedback,11,performance,-6.894167037575854
Positive Feedback,12,quality,-6.9090348744901755
Positive Feedback,13,performer,-6.968104323211311
Positive Feedback,14,job,-6.98367762190197
Positive Feedback,15,does,-6.996531813551777
