state,word,count
POSITIVE_SIGNAL,great,208
POSITIVE_SIGNAL,good,191
POSITIVE_SIGNAL,quality,162
POSITIVE_SIGNAL,high,115
POSITIVE_SIGNAL,best,95
POSITIVE_SIGNAL,consistent,58
POSITIVE_SIGNAL,excellent,46
POSITIVE_SIGNAL,strong,41
POSITIVE_SIGNAL,reliable,40
POSITIVE_SIGNAL,top,39
POSITIVE_SIGNAL,leadership,34
POSITIVE_SIGNAL,leader,27
POSITIVE_SIGNAL,star,27
POSITIVE_SIGNAL,valuable,23
POSITIVE_SIGNAL,confident,22
POSITIVE_SIGNAL,exceptional,21
POSITIVE_SIGNAL,achieve,20
POSITIVE_SIGNAL,positive,19
POSITIVE_SIGNAL,proactive,16
POSITIVE_SIGNAL,impressive,16
NEGATIVE_SIGNAL,lack,70
NEGATIVE_SIGNAL,late,57
NEGATIVE_SIGNAL,low,43
NEGATIVE_SIGNAL,mistake,41
NEGATIVE_SIGNAL,issue,39
NEGATIVE_SIGNAL,struggle,36
NEGATIVE_SIGNAL,problem,33
NEGATIVE_SIGNAL,poor,28
NEGATIVE_SIGNAL,bad,20
NEGATIVE_SIGNAL,difficult,18
NEGATIVE_SIGNAL,inconsistent,16
NEGATIVE_SIGNAL,miss,15
NEGATIVE_SIGNAL,lacking,14
NEGATIVE_SIGNAL,below,13
NEGATIVE_SIGNAL,slow,13
NEGATIVE_SIGNAL,fails,11
NEGATIVE_SIGNAL,missed,10
NEGATIVE_SIGNAL,difficulty,10
NEGATIVE_SIGNAL,failed,9
NEGATIVE_SIGNAL,struggling,7
GROWTH_SIGNAL,potential,238
GROWTH_SIGNAL,improve,211
GROWTH_SIGNAL,future,119
GROWTH_SIGNAL,improvement,89
GROWTH_SIGNAL,growth,48
GROWTH_SIGNAL,talent,39
GROWTH_SIGNAL,training,38
GROWTH_SIGNAL,learning,32
GROWTH_SIGNAL,opportunity,28
GROWTH_SIGNAL,capable,28
GROWTH_SIGNAL,promotion,25
GROWTH_SIGNAL,capacity,24
GROWTH_SIGNAL,progress,24
GROWTH_SIGNAL,career,24
GROWTH_SIGNAL,develop,23
GROWTH_SIGNAL,initiative,21
GROWTH_SIGNAL,development,21
GROWTH_SIGNAL,coaching,10
GROWTH_SIGNAL,mentor,8
GROWTH_SIGNAL,mentoring,5
RISK_SIGNAL,deadline,52
RISK_SIGNAL,never,52
RISK_SIGNAL,attitude,43
RISK_SIGNAL,needed,34
RISK_SIGNAL,rarely,23
RISK_SIGNAL,unable,15
RISK_SIGNAL,requires,13
RISK_SIGNAL,risk,9
RISK_SIGNAL,behavior,8
RISK_SIGNAL,serious,7
RISK_SIGNAL,critical,7
RISK_SIGNAL,complaint,6
RISK_SIGNAL,immediate,5
RISK_SIGNAL,attendance,5
RISK_SIGNAL,warning,5
RISK_SIGNAL,underperforming,4
RISK_SIGNAL,punctuality,2
RISK_SIGNAL,termination,2
RISK_SIGNAL,discipline,2
RISK_SIGNAL,urgent,1
NEUTRAL_CONTEXT,to,2404
NEUTRAL_CONTEXT,the,1758
NEUTRAL_CONTEXT,a,1701
NEUTRAL_CONTEXT,and,1637
NEUTRAL_CONTEXT,is,1603
NEUTRAL_CONTEXT,he,1595
NEUTRAL_CONTEXT,in,1034
NEUTRAL_CONTEXT,work,997
NEUTRAL_CONTEXT,ha,990
NEUTRAL_CONTEXT,his,969
NEUTRAL_CONTEXT,she,967
NEUTRAL_CONTEXT,of,919
NEUTRAL_CONTEXT,her,830
NEUTRAL_CONTEXT,with,619
NEUTRAL_CONTEXT,i,618
NEUTRAL_CONTEXT,that,594
NEUTRAL_CONTEXT,on,550
NEUTRAL_CONTEXT,not,514
NEUTRAL_CONTEXT,for,493
NEUTRAL_CONTEXT,be,467
