word,frequency
to,1638
the,1134
and,1108
he,1080
is,1070
in,683
work,683
his,655
ha,619
she,612
of,576
her,530
with,417
that,414
on,372
not,360
be,322
for,317
this,289
time,261
but,249
team,239
at,206
more,201
him,195
can,195
doe,185
have,176
potential,175
it,172
company,172
task,168
an,163
our,159
very,157
improve,154
been,152
performance,150
we,147
well,145
always,142
great,133
will,129
are,121
need,120
good,119
do,119
worker,117
up,115
show,115
however,112
all,108
job,107
if,103
would,102
quality,101
see,99
when,99
from,96
some,95
skill,95
shown,91
project,91
employee,90
so,89
quarter,89
much,87
could,84
future,83
what,82
take,78
about,78
high,78
get,77
any,75
wa,74
able,73
or,72
make,71
better,71
consistently,70
should,68
member,68
one,67
seems,65
new,65
often,64
report,63
by,62
also,62
day,61
there,61
think,60
level,60
really,60
ability,60
area,58
out,57
feedback,57
believe,57
