action_verb,frequency
work,304
show,288
improve,259
need,226
complete,144
continue,106
learn,106
believe,102
perform,100
take,96
meet,93
give,84
think,81
ask,70
come,67
produce,67
grow,58
help,56
deliver,54
expect,53
turn,51
assign,51
struggle,50
find,49
get,48
lack,46
see,46
prove,46
want,45
make,45
know,45
require,45
provide,44
try,42
look,42
demonstrate,42
excel,40
like,39
seek,38
put,37
develop,35
achieve,35
focus,32
exceed,32
set,31
move,30
leave,28
miss,28
submit,28
feel,28
say,27
reach,27
lead,27
bring,26
understand,25
finish,25
succeed,25
follow,24
contribute,24
recommend,23
let,22
advance,22
manage,22
consider,22
start,22
hope,22
use,21
fail,21
rely,21
count,21
stay,20
respond,20
apply,19
suggest,19
strive,19
trust,18
increase,18
catch,17
speak,17
keep,17
benefit,17
have,16
accomplish,16
listen,16
tell,16
maintain,16
receive,16
push,16
pay,16
spend,15
handle,15
stand,14
offer,14
appreciate,14
progress,13
review,13
create,13
tend,13
appear,13
love,13
