opinion_word,frequency
good,274
great,223
high,151
well,117
able,112
hard,104
consistently,94
new,91
little,74
solid,70
far,61
late,59
consistent,58
long,57
average,57
overall,53
low,52
strong,49
right,47
current,46
excellent,46
reliable,40
unfortunately,37
sure,37
willing,37
quickly,37
forward,35
ethic,33
past,30
poor,28
bad,28
currently,28
extra,28
capable,28
timely,27
usually,26
moderate,26
potential,25
definitely,25
constantly,24
happy,24
rarely,23
valuable,23
satisfactory,22
key,22
extremely,22
confident,22
possible,21
decent,21
basic,21
exceptional,21
additional,19
multiple,19
positive,19
bright,19
difficult,18
interested,18
generally,18
creative,18
early,17
important,17
soon,16
easily,16
frequently,16
regularly,16
big,16
impressive,16
amazing,16
efficiently,16
short,15
somewhat,15
unable,15
probably,15
inconsistent,15
necessary,15
perfect,14
simple,14
acceptable,14
ideal,14
quick,14
proactive,14
efficient,14
different,13
significant,13
greatly,13
true,13
friendly,13
fast,13
outstanding,13
ready,12
future,12
fully,12
incredibly,12
significantly,11
personal,11
certainly,11
clear,11
successful,11
technical,11
dependable,11
