record_id,category,token,lemma,pos,tag,dependency,head
1,Category 1: Risk,John,john,PROPN,NNP,nsubj,progressed
1,Category 1: Risk,progressed,progress,VERB,VBN,ROOT,progressed
1,Category 1: Risk,position,position,NOUN,NN,pobj,in
1,Category 1: Risk,continuously,continuously,ADV,RB,advmod,late
1,Category 1: Risk,late,late,ADV,RB,acomp,is
1,Category 1: Risk,leaves,leave,VERB,VBZ,ROOT,leaves
1,Category 1: Risk,early,early,ADV,RB,advmod,leaves
1,Category 1: Risk,takes,take,VERB,VBZ,conj,leaves
1,Category 1: Risk,breaks,break,NOUN,NNS,dobj,takes
1,Category 1: Risk,day,day,NOUN,NN,pobj,throughout
1,Category 1: Risk,calls,call,VERB,VBZ,ROOT,calls
1,Category 1: Risk,week,week,NOUN,NN,npadvmod,calls
1,Category 1: Risk,Fridays,fridays,PROPN,NNPS,pobj,on
1,Category 1: Risk,performance,performance,NOUN,NN,nsubj,declined
1,Category 1: Risk,significantly,significantly,ADV,RB,advmod,declined
1,Category 1: Risk,declined,decline,VERB,VBN,ROOT,declined
1,Category 1: Risk,suggestion,suggestion,NOUN,NN,nsubj,is
1,Category 1: Risk,suitable,suitable,ADJ,JJ,acomp,is
1,Category 1: Risk,position,position,NOUN,NN,pobj,for
10045,Category 1: Risk,Douglas,douglas,PROPN,NNP,compound,Henry
10045,Category 1: Risk,Henry,henry,PROPN,NNP,nsubj,having
10045,Category 1: Risk,having,have,VERB,VBG,ROOT,having
10045,Category 1: Risk,trouble,trouble,NOUN,NN,dobj,having
10045,Category 1: Risk,areas,area,NOUN,NNS,pobj,in
10045,Category 1: Risk,job,job,NOUN,NN,pobj,of
10045,Category 1: Risk,rarely,rarely,ADV,RB,advmod,arrives
10045,Category 1: Risk,arrives,arrive,VERB,VBZ,ROOT,arrives
10045,Category 1: Risk,work,work,NOUN,NN,pobj,at
10045,Category 1: Risk,time,time,NOUN,NN,pobj,on
10045,Category 1: Risk,phones,phone,VERB,VBZ,ROOT,phones
