workplace_term,frequency
quality,243
worker,227
project,220
future,192
improvement,156
member,154
quarter,143
report,133
level,127
colleague,124
lot,122
effort,118
assignment,118
client,106
room,105
expectation,103
goal,96
deadline,93
growth,86
player,84
asset,83
organization,80
product,78
result,77
performer,76
meeting,75
duty,74
office,74
mistake,73
lack,72
motivation,72
talent,72
department,69
experience,68
idea,67
interest,64
error,63
issue,62
number,62
customer,61
attitude,60
standard,60
management,59
leadership,57
responsibility,56
guidance,56
training,55
problem,53
output,52
detail,52
good,51
coworker,51
opportunity,48
communication,47
hand,46
tom,45
promotion,45
leader,45
great,45
question,44
bit,43
initiative,42
peer,42
george,41
knowledge,41
noah,41
chelsea,41
star,40
capacity,39
business,39
self,38
attention,38
desire,37
career,37
instruction,36
research,36
madison,36
capability,35
term,33
drive,32
field,32
willingness,31
promise,30
blake,30
hour,29
group,29
peter,29
morgan,29
dylan,28
development,28
firm,28
review,28
chance,28
help,28
place,28
occasion,27
par,27
enthusiasm,27
current,27
high,27
